,Name,Price,Date,Rate,Singleplayer,Action,Multiplayer,Adventure,Strategy,Simulation,Indie,RPG,Atmospheric,Story Rich,Open World,Casual,2D,Sandbox,Fantasy,Online Co-Op,Exploration,3D,Funny,Survival,Shooter,Realistic,Anime,Sci-fi,FPS
18,Little Nightmares II,89.9,2021,0.89,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,MechWarrior 5: Mercenaries,14.5,2021,0.79,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
20,Grounded,10,2022,0.85,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0
21,Marauders,37.5,2022,0.78,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
22,SUPER PEOPLE,0,2022,0.48,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1
23,FINAL FANTASY XIV Online,48,2014,0.86,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
24,Torchlight: Infinite,0,2022,0.38,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Total War: WARHAMMER II,20,2017,0.9,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,Fallout 76: The Pitt,311.18,2020,0.7,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
27,ELDEN RING,109.9,2022,0.93,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0
28,Total War: WARHAMMER III,15,2022,0.83,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
29,Total War: THREE KINGDOMS,9.5,2019,0.77,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30,Brotato,5.25,2022,0.96,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
31,Overcooked! 2,3.25,2018,0.91,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
32,NBA 2K23,139,2022,0.57,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
33,Need for Speed™ Heat,16,2019,0.78,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,The Elder Scrolls® Online,102.48,2014,0.79,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
35,ELEX II,5.25,2022,0.63,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
36,No More Heroes 3,69.9,2022,0.93,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
37,Assassin's Creed® Origins,9.3,2017,0.85,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
38,DEAD OR ALIVE Xtreme Venus Vacation,0,2019,0.86,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
39,No Man's Sky,59.9,2016,0.69,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1
40,Tom Clancy's Rainbow Six® Siege,131.98,2015,0.79,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1
41,Hunt: Showdown,7.5,2019,0.85,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
42,Forza Horizon 5,251.8,2021,0.9,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0
43,Metro 2033 Redux,100,2014,0.92,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
44,Yakuza: Like a Dragon,6.9,2020,0.91,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
45,Phasmophobia,14,2020,0.93,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
46,Metro: Last Light Redux,100,2014,0.9,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
47,Slime Rancher 2,10,2022,0.95,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
48,American Truck Simulator,2.75,2016,0.97,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
49,Kingdom Come: Deliverance,4.25,2018,0.83,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Total War: WARHAMMER,8.5,2016,0.83,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
51,World of Warships,22,2017,0.74,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
52,Terra Invicta,49,2022,0.84,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
53,Hearts of Iron IV,222.3,2016,0.9,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
54,Marvel’s Spider-Man Remastered,78.9,2022,0.96,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
55,Prison Architect,2.15,2015,0.79,1,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
56,Dome Keeper,8.5,2022,0.87,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
57,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,8.9,2016,0.9,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0
58,HUMANKIND™,3.45,2021,0.68,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
59,Cities: Skylines,137.99,2015,0.88,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0
60,The Sims™ 4,1246.3,2014,0.85,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0
61,Raft,20,2022,0.93,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
62,New World,59,2021,0.81,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63,RimWorld,65.25,2018,0.97,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0
64,Red Dead Redemption 2,139,2019,0.93,1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1
65,Microsoft Flight Simulator Game of the Year Edition,169.95,2020,0.82,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,Ready or Not,89.98,2021,0.91,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
67,Stellaris,290,2016,0.89,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
68,Yu-Gi-Oh! Duel Links,0,2017,0.84,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
69,Overcooked! All You Can Eat,43,2021,0.86,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
70,Terraria,10.5,2011,0.97,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0
71,MONSTER HUNTER RISE,660,2022,0.82,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
72,Project Zomboid,51.5,2013,0.94,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
73,Battlefield™ 2042,119.8,2021,0.54,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
74,Guild Wars 2,82.08,2022,0.87,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
75,Farthest Frontier,26,2022,0.84,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0
76,Construction Simulator,6.5,2022,0.78,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
77,Medieval Dynasty,9.99,2021,0.84,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
78,Disney Dreamlight Valley,26,2022,0.95,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
79,Cult of the Lamb,16,2022,0.95,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
80,Stardew Valley,5.5,2016,0.98,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
81,ARK: Survival Evolved,26,2017,0.89,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
82,World of Tanks Blitz,26,2016,0.79,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1
83,Mafia: Definitive Edition,85.9,2020,0.84,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,Sea of Thieves,49.5,2020,0.89,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
85,The Elder Scrolls V: Skyrim Special Edition,125.27,2016,0.9,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,Farming Simulator 22,151.9,2021,0.92,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
87,Persona® 5 Strikers,84.9,2021,0.77,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
88,BONELAB,10,2022,0.76,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
89,Stray,11,2022,0.97,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
90,Airport CEO,5.25,2021,0.78,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0
91,Phantasy Star Online 2 New Genesis,151.7,2020,0.77,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
92,Two Point Hospital,8.5,2018,0.92,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
93,Barotrauma,5.5,2019,0.93,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
94,The Forest,18.5,2018,0.96,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0
95,GUNDAM EVOLUTION,0,2022,0.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1
96,Crusader Kings III,73,2020,0.87,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
97,Total War™: ROME II - Emperor Edition,9.5,2013,0.93,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
98,Sid Meier’s Civilization® VI,209.3,2016,0.87,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
99,Spiritfarer®: Farewell Edition,10,2020,0.94,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
100,Mount & Blade II: Bannerlord,59,2020,0.82,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
101,FreestyleFootball R,0,2022,0.73,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
102,Valheim,8.5,2021,0.87,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
103,Bloons TD 6,14,2018,0.96,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
104,War Robots,0,2018,0.65,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
105,Stumble Guys,0,2021,0.86,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
106,Trombone Champ,14.5,2022,0.97,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
107,SMITE®,0,2015,0.73,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
108,Assassin's Creed® Unity,9.3,2014,0.86,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
109,ANNO: Mutationem,14.5,2022,0.84,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
110,Madden NFL 23,69.9,2022,0.43,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
111,Football Manager 2022,59,2021,0.93,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
112,Age of Empires IV,79,2021,0.88,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
113,Dinkum,18.5,2022,0.93,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
114,Garry's Mod,10.5,2006,0.97,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
115,BeamNG.drive,22,2015,0.97,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0
116,The Ascent,4,2021,0.76,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
117,Don't Starve Together,346.5,2016,0.94,0,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0
118,STAR WARS™: The Old Republic™,42,2011,0.85,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
119,Call of Duty®: Black Ops III,1032.9,2015,0.89,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
120,PlateUp!,17,2022,0.94,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
121,Inside the Backrooms,5.25,2022,0.84,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
122,Satisfactory,26,2020,0.96,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
123,60 Seconds! Reatomized,20,2019,0.92,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
124,F1® 22,24.9,2022,0.69,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
125,It Takes Two,49.9,2021,0.95,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
126,The Binding of Isaac: Rebirth,22.5,2014,0.97,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
127,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,6.7,2021,0.81,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
128,Foxhole,26,2022,0.85,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
129,One More Gate : A Wakfu Legend,18,2022,0.81,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
130,Fallout: New Vegas,1.25,2010,0.94,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1
131,theHunter: Call of the Wild™,149.25,2017,0.88,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
132,Train Simulator Classic,34,2009,0.85,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0
133,Hatsune Miku: Project DIVA Mega Mix+,44.9,2022,0.92,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
134,CarX Drift Racing Online,5.25,2017,0.97,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
135,Factorio,7.5,2020,0.98,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
136,Squad,7.5,2020,0.88,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
137,Company of Heroes 2,10.5,2013,0.8,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,Baldur's Gate 3,69,2020,0.78,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
139,Left 4 Dead 2,10,2009,0.97,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
140,Yakuza Kiwami 2,13.5,2019,0.94,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
141,Assassin's Creed® Syndicate,6.7,2015,0.84,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,Conqueror's Blade,354.9,2020,0.61,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
143,Assetto Corsa,63.9,2014,0.92,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,Among Us,5.25,2018,0.87,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0
145,Return to Monkey Island,26,2022,0.93,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
146,ELEX,10.5,2017,0.46,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
147,Eville,5,2022,0.93,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
148,Ozymandias: Bronze Age Empire Sim,14.5,2022,0.94,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,ULTRAKILL,22,2020,0.97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
150,Persona 4 Golden,56.8,2020,0.94,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
151,Two Point Campus,51.9,2022,0.85,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
152,Risk of Rain 2,28,2020,0.95,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
153,Yakuza 0,97,2018,0.95,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,Temtem,20.7,2022,0.72,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
155,Deep Rock Galactic,75.5,2020,0.96,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1
156,SWORD ART ONLINE Alicization Lycoris,74.9,2020,0.67,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
157,Resident Evil Village,53,2021,0.96,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
158,Europa Universalis IV,507.3,2013,0.86,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
159,V Rising,36,2022,0.81,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
160,Monument Valley: Panoramic Edition,41.5,2022,1,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
161,Planet Zoo,136.8,2019,0.93,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
162,Bayonetta,40,2017,0.92,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
163,IL-2 Sturmovik: Battle of Stalingrad,109,2014,0.81,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
164,Yakuza 6: The Song of Life,6.9,2021,0.9,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
165,Path of Exile,0,2013,0.58,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
166,Gunfire Reborn,7.5,2021,0.89,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
167,Arma 3,232.23,2013,0.9,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1
168,VillageRhapsody,4,2022,0.92,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
169,Monument Valley 2: Panoramic Edition,41.5,2022,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
170,Chivalry 2,10,2022,0.81,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
171,Age of Empires II: Definitive Edition,54.7,2019,0.96,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
172,Yakuza Kiwami,97,2019,0.92,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
173,Beat Saber,152.65,2019,0.92,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Lost Judgment,38.9,2022,0.94,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
175,Sekiro™: Shadows Die Twice - GOTY Edition,69.9,2019,0.95,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Weird RPG,11,2022,0.93,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
177,This War of Mine,4.99,2014,0.94,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
178,Total War: ATTILA,9.5,2015,0.88,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
179,7 Days to Die,39,2013,0.9,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1
180,Divinity: Original Sin 2 - Definitive Edition,23.5,2017,0.95,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
181,SnowRunner,123.7,2021,0.88,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
182,Teardown,19.9,2022,0.96,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
183,GUILTY GEAR -STRIVE-,211.88,2021,0.91,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
184,A.V.A Global,0,2022,0.37,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
185,Shatterline,0,2022,0.77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
186,ヘブンバーンズレッド,0,2022,0.89,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
187,Pummel Party,14.5,2018,0.85,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
